"Date","Open","High","Low","Close"
"15 Jun 2018","26513.70","26586.40","26344.95","26417.40"
"14 Jun 2018","26612.30","26623.25","26503.10","26562.25"
"13 Jun 2018","26721.95","26765.45","26598.20","26642.80"
"12 Jun 2018","26566.60","26656.45","26449.85","26607.10"
"11 Jun 2018","26473.20","26653.00","26421.95","26453.55"
"08 Jun 2018","26457.25","26481.00","26284.20","26451.35"
"07 Jun 2018","26577.95","26766.95","26483.90","26517.80"
"06 Jun 2018","26266.90","26425.20","26147.80","26367.60"
"05 Jun 2018","26263.00","26342.40","26069.55","26251.00"
"04 Jun 2018","27023.7","27047.55","26205.9","26257.55"
"01 Jun 2018","26913.4","26996.8","26658.55","26692.8"
"31 May 2018","26587","27164.55","26354.55","26956.2"
"30 May 2018","26039.9","26405.45","25980.85","26327.8"
"29 May 2018","26567.25","26570.95","26221.1","26254.8"
"28 May 2018","26291.65","26713.65","26273.9","26614.25"
"25 May 2018","26066.75","26325.55","26031.45","26273.55"
"24 May 2018","25722.9","26073.1","25658.4","26016.8"
"23 May 2018","25726.95","25903.9","25622.15","25684.95"
"22 May 2018","25780.25","25945.65","25701.35","25777.7"
"21 May 2018","26017.5","26066.75","25685.35","25750.8"
"18 May 2018","26025.6","26032","25839","25875.6"
"17 May 2018","26233.2","26283.55","26012","26073.8"
"16 May 2018","26269.35","26428.35","26102.15","26182.15"
"15 May 2018","26494.9","26972.05","26407.3","26474"
"14 May 2018","26404.45","26565.4","26338.05","26475.15"
"11 May 2018","26173.7","26437.25","26099.85","26413.15"
"10 May 2018","26216.1","26266.4","26057.2","26131"
"09 May 2018","25988.1","26206.5","25946.3","26154.45"
"08 May 2018","26074.15","26116.25","25954.6","26090.5"
"07 May 2018","25676.25","25913.5","25675.15","25852.05"
"04 May 2018","25632.3","25680.4","25537.7","25645.4"
"03 May 2018","25547.9","25653.45","25469.05","25605.25"
"02 May 2018","25607.05","25716.75","25499.35","25568.3"
"30 Apr 2018","25490.15","25617.5","25464.8","25531.6"
"27 Apr 2018","25030.15","25441.5","25029.65","25394.6"
"26 Apr 2018","24833.2","25064","24753.4","25010.9"
"25 Apr 2018","24993.4","24993.4","24734.6","24814.4"
"24 Apr 2018","24972.2","25123.45","24955","25042.1"
"23 Apr 2018","25065.5","25084.15","24466.1","24960.65"
"20 Apr 2018","25126.8","25126.8","24839.3","24943.85"
"19 Apr 2018","25206.45","25207.3","25049.7","25126.15"
"18 Apr 2018","25426.75","25426.75","25058.75","25102.3"
"17 Apr 2018","25383.75","25402.55","25224","25334.45"
"16 Apr 2018","25082.1","25348.55","25067.35","25320.85"
"13 Apr 2018","25239.65","25411.3","25076.85","25200.6"
"12 Apr 2018","25076.9","25244.8","24969.4","25195.1"
"11 Apr 2018","25198.35","25207.05","24950.3","25098.25"
"10 Apr 2018","25153.6","25279.9","25120.2","25226.8"
"09 Apr 2018","24848.85","25152.85","24828","25093.8"
"06 Apr 2018","24776.35","24933.6","24626.4","24873.15"
"05 Apr 2018","24394.45","24824.9","24380.85","24759.8"
"04 Apr 2018","24502.5","24666.3","24087.8","24129.5"
"03 Apr 2018","24285.95","24538","24254.35","24510.6"
"02 Apr 2018","24235.65","24373.4","24062.95","24328.5"
"28 Mar 2018","24299.5","24361","24203.4","24263.35"
"27 Mar 2018","24396.4","24496.95","24266.4","24434.15"
"26 Mar 2018","23674.9","24290.65","23657.05","24244.35"
"23 Mar 2018","23785.65","23796.3","23605.6","23670.4"
"22 Mar 2018","24252.95","24314.4","24094.85","24141.5"
"21 Mar 2018","24331.3","24459.75","24208.65","24255.6"
"20 Mar 2018","24133.95","24355.65","24082.95","24168.2"
"19 Mar 2018","24530.15","24588.05","24186.95","24245.1"
"16 Mar 2018","24753.65","24785.35","24439.15","24489.55"
"15 Mar 2018","24854.3","24939.85","24732","24791.85"
"14 Mar 2018","24629.65","24894.3","24487","24851.65"
"13 Mar 2018","24624.6","25009.65","24597.55","24738.65"
"12 Mar 2018","24443.6","24716.05","24358.5","24664.2"
"09 Mar 2018","24556.95","24564.75","24259.7","24296.45"
"08 Mar 2018","24273.9","24534.5","24048.55","24477.65"
"07 Mar 2018","24333.85","24373.4","24096.75","24134.1"
"06 Mar 2018","24964.1","25040.25","24362.05","24448.45"
"05 Mar 2018","24831.35","24873.05","24682","24818.7"
"01 Mar 2018","25022.35","25226.05","24854.4","24902.55"
"28 Feb 2018","25116.25","25192.95","24942","25107.4"
"27 Feb 2018","25684.6","25723.55","25356.4","25383.6"
"26 Feb 2018","25452","25722.15","25381.2","25687.9"
"23 Feb 2018","25002.25","25345.15","24962.85","25302.5"
"22 Feb 2018","24812.7","24987.05","24781.7","24955.2"
"21 Feb 2018","24996.6","24999.7","24796.35","24936.7"
"20 Feb 2018","25105.55","25158.1","24829","24874.4"
"19 Feb 2018","25324.6","25326.05","24824.55","25058.55"
"16 Feb 2018","25511.95","25601","25100.9","25163.9"
"15 Feb 2018","25360.9","25615.15","25295.15","25424.35"
"14 Feb 2018","25810.25","25810.25","25212.35","25341.25"
"12 Feb 2018","25530.1","25757.85","25485.4","25701.6"
"09 Feb 2018","25466.3","25598.3","25371","25463.65"
"08 Feb 2018","25759.85","26126.4","25637.4","25920.65"
"07 Feb 2018","26065.4","26078.4","25558.05","25670"
"06 Feb 2018","25140.1","26140.6","25023.85","25811.3"
"05 Feb 2018","25968.15","26215.1","25917.55","26098.75"
"02 Feb 2018","27017.4","27017.55","26364.05","26451.15"
"01 Feb 2018","27334.85","27613.5","27046.35","27220.7"
"31 Jan 2018","27136.25","27455.75","27116.95","27379.45"
"30 Jan 2018","27466.85","27470.25","27242.05","27269.05"
"29 Jan 2018","27446.1","27652.05","27407.4","27498.45"
"25 Jan 2018","27414.1","27522.85","27151.75","27445.65"
"24 Jan 2018","27310.15","27479.25","27219.45","27398.55"
"23 Jan 2018","27089.95","27422.05","27066.15","27390.6"
"22 Jan 2018","26940.5","27074.9","26841.2","27041.2"
"19 Jan 2018","26615.65","26957.85","26433.55","26909.5"
"18 Jan 2018","26762.25","26887.65","26423.75","26537.4"
"17 Jan 2018","25946.15","26335.85","25922.3","26289.1"
"16 Jan 2018","26129.15","26136.4","25931.7","25974.9"
"15 Jan 2018","25858.15","26091.8","25842.95","26069.2"
"12 Jan 2018","25732.4","25775.15","25557.6","25749.05"
"11 Jan 2018","25628.2","25694.65","25532.25","25660.9"
"10 Jan 2018","25709.9","25717.6","25527.5","25617.3"
"09 Jan 2018","25727.95","25803.8","25617.25","25703.8"
"08 Jan 2018","25690.25","25771.5","25643.8","25676.1"
"05 Jan 2018","25524.45","25643.35","25499.55","25601.85"
"04 Jan 2018","25367.65","25490.35","25310.3","25462.6"
"03 Jan 2018","25425.75","25454.9","25300.9","25318.6"
"02 Jan 2018","25382.2","25425.5","25232.8","25338.25"
"01 Jan 2018","25565.75","25588","25271.55","25318.1"
"29 Dec 2017","25484.85","25566.4","25450.25","25539.45"
"28 Dec 2017","25463.6","25561.95","25417.4","25490"
"27 Dec 2017","25652.85","25733.2","25429.55","25496.05"
"26 Dec 2017","25659.75","25712.95","25545.6","25675.25"
"22 Dec 2017","25615.6","25694.5","25560.5","25648.55"
"21 Dec 2017","25608.25","25629.95","25508.9","25554.3"
"20 Dec 2017","25779.05","25780.05","25566.05","25591.7"
"19 Dec 2017","25640.9","25757.95","25619.6","25716.2"
"18 Dec 2017","25181.75","25759.9","24617.15","25594.55"
"15 Dec 2017","25487.15","25559.05","25411.25","25440.3"
"14 Dec 2017","25062.4","25205.9","24888.65","25168.2"
